FIPS,COUNTY,STATE,POP,VETS,VET_PERCENT,CASES,YESTER_CASES,VET_CASES,VET_YESTER,LOWER_Hospitalizations,UPPER_Hospitalizations,DATE
27131,Rice,Minnesota,66972.0,3359.90933258,0.0501688665797646,8233.0,8233.0,413.04027855120194,413.04027855120194,37.82959368645369,74.0703357582629,
27133,Rock,Minnesota,9315.0,529.8064924167,0.0568767034263768,1287.0,1286.0,73.20031730974695,73.14344060632057,6.896341701684238,13.659280022515054,
27135,Roseau,Minnesota,15165.0,932.760359348,0.0615074420935047,2115.0,2113.0,130.08824002776245,129.96522514357542,13.197932426681183,25.66065098081105,
27137,St. Louis,Minnesota,199070.0,15036.247924099998,0.0755324655854724,18195.0,18188.0,1374.3132113276704,1373.784484068572,128.20304929591643,248.83710404614465,
27139,Scott,Minnesota,149013.0,5922.8237674281,0.0397470272219745,17603.0,17600.0,699.6669201884171,699.5476791067512,59.61943295731896,124.06370156177336,
27141,Sherburne,Minnesota,97238.0,5675.639734089999,0.0583685363138896,12075.0,12069.0,704.8000759902169,704.4498647723336,64.1336475464576,128.7510675495361,
27143,Sibley,Minnesota,14865.0,851.682955524,0.0572945143305751,1471.0,1471.0,84.28023058027597,84.28023058027597,8.793621064077273,16.819547701517074,
27145,Stearns,Minnesota,161075.0,9299.8505559666,0.0577361512088567,22615.0,22612.0,1305.7030595882943,1305.5298511346678,132.44636268941485,260.116059181167,
27147,Steele,Minnesota,36649.0,2145.00688286,0.0585283877557368,4001.0,3998.0,234.17207941070293,233.99649424743572,18.987881979561507,38.4365111992181,
27149,Stevens,Minnesota,9805.0,467.9808026048,0.0477287916986027,926.0,926.0,44.196861112906106,44.196861112906106,5.274770487238198,9.970136485089382,
27151,Swift,Minnesota,9266.0,616.633698244,0.0665479924718325,1072.0,1072.0,71.33944792980445,71.33944792980445,7.018923122348918,13.342703066271564,
27153,Todd,Minnesota,24664.0,1853.15447718,0.0751360070215699,2871.0,2870.0,215.7154761589272,215.64034015190563,22.707636592749623,43.34782292421839,
27155,Traverse,Minnesota,3259.0,235.258057062,0.0721871914888002,379.0,378.0,27.358945574255277,27.28675838276648,2.4474648496129223,4.692746012097041,
27157,Wabasha,Minnesota,21627.0,1537.1138045159998,0.0710738338426966,2081.0,2081.0,147.9046482266516,147.9046482266516,12.137601463914194,24.060038415289508,
27159,Wadena,Minnesota,13682.0,1000.37040296,0.0731158019997076,1643.0,1643.0,120.12926268551959,120.12926268551959,11.5771113111496,22.649593929893257,
27161,Waseca,Minnesota,18612.0,1082.253760308,0.0581481710889748,2397.0,2396.0,139.3811661002726,139.3230179291836,13.921764968284542,27.257399237145748,
27163,Washington,Minnesota,262440.0,13804.137189167,0.0525992119690862,27556.0,27545.0,1449.4238850201393,1448.8452936884794,137.83187695319333,270.555212520969,
27165,Watonwan,Minnesota,10897.0,607.672131124,0.055765084988896,1356.0,1355.0,75.61745524494297,75.56169015995408,7.8854638288340695,14.97972091215901,
27167,Wilkin,Minnesota,6207.0,328.786835834,0.0529703296010955,835.0,835.0,44.23022521691475,44.23022521691475,4.357361694177791,8.443990842794564,
27169,Winona,Minnesota,50484.0,2701.9900332640004,0.0535217105075667,4629.0,4629.0,247.75199793952623,247.75199793952623,22.90897257467034,44.22125793650038,
27171,Wright,Minnesota,138377.0,6893.930723546,0.0498199174974598,16457.0,16445.0,819.8863822556959,819.2885432457264,79.13639962587216,157.94347272977566,
27173,Yellow Medicine,Minnesota,9709.0,568.381680846,0.0585417325003604,1153.0,1151.0,67.49861757291553,67.38153410791482,6.622838955302123,12.774175063526668,
28001,Adams,Mississippi,30693.0,1727.644578585,0.0562879020814192,3238.0,3215.0,182.26022693963537,180.96560519176273,17.91482042662847,34.773578629523925,
28003,Alcorn,Mississippi,36953.0,1769.002676761,0.0478716931442914,3382.0,3379.0,161.90206621399352,161.75845113456063,15.451336226579448,30.85686864554461,
28005,Amite,Mississippi,12297.0,658.023477778,0.0535108951596324,1298.0,1294.0,69.45714191720286,69.24309833656433,5.591185855147683,11.340218160170078,
28007,Attala,Mississippi,18174.0,989.585661936,0.0544506251753053,2171.0,2168.0,118.2123072555878,118.0489553800619,11.887774298883818,23.160718909891575,
