FIPS,COUNTY,STATE,AGEGROUP,CASES
05143,Washington,Arkansas,18 to 49 years,13470
05143,Washington,Arkansas,50 to 64 years,3054
05143,Washington,Arkansas,65+ years,1743
05145,White,Arkansas,0 - 17 years,693
05145,White,Arkansas,18 to 49 years,2329
05145,White,Arkansas,50 to 64 years,884
05145,White,Arkansas,65+ years,915
05149,Yell,Arkansas,0 - 17 years,450
05149,Yell,Arkansas,18 to 49 years,1433
05149,Yell,Arkansas,50 to 64 years,542
05149,Yell,Arkansas,65+ years,385
06001,Alameda,California,0 - 17 years,10052
06001,Alameda,California,18 to 49 years,48258
06001,Alameda,California,50 to 64 years,15016
06001,Alameda,California,65+ years,9088
06005,Amador,California,0 - 17 years,99
06005,Amador,California,18 to 49 years,1666
06005,Amador,California,50 to 64 years,938
06005,Amador,California,65+ years,623
06007,Butte,California,0 - 17 years,1057
06007,Butte,California,18 to 49 years,6752
06007,Butte,California,50 to 64 years,1734
06007,Butte,California,65+ years,1476
06009,Calaveras,California,0 - 17 years,141
06009,Calaveras,California,18 to 49 years,829
06009,Calaveras,California,50 to 64 years,462
06009,Calaveras,California,65+ years,376
06011,Colusa,California,0 - 17 years,226
06011,Colusa,California,18 to 49 years,1009
06011,Colusa,California,50 to 64 years,293
06011,Colusa,California,65+ years,181
06013,Contra Costa,California,0 - 17 years,9497
06013,Contra Costa,California,18 to 49 years,35983
06013,Contra Costa,California,50 to 64 years,11905
06013,Contra Costa,California,65+ years,6778
06015,Del Norte,California,0 - 17 years,88
06015,Del Norte,California,18 to 49 years,589
06015,Del Norte,California,50 to 64 years,199
06015,Del Norte,California,65+ years,45
06017,El Dorado,California,0 - 17 years,970
06017,El Dorado,California,18 to 49 years,4655
06017,El Dorado,California,50 to 64 years,2131
06017,El Dorado,California,65+ years,1333
06019,Fresno,California,0 - 17 years,14134
06019,Fresno,California,18 to 49 years,56991
06019,Fresno,California,50 to 64 years,16756
06019,Fresno,California,65+ years,10125
06021,Glenn,California,0 - 17 years,298
06021,Glenn,California,18 to 49 years,1197
06021,Glenn,California,50 to 64 years,350
06021,Glenn,California,65+ years,244
06023,Humboldt,California,0 - 17 years,503
06023,Humboldt,California,18 to 49 years,1963
06023,Humboldt,California,50 to 64 years,476
06023,Humboldt,California,65+ years,295
06025,Imperial,California,0 - 17 years,3401
06025,Imperial,California,18 to 49 years,14918
06025,Imperial,California,50 to 64 years,5542
06025,Imperial,California,65+ years,3379
06029,Kern,California,0 - 17 years,11420
06029,Kern,California,18 to 49 years,56167
06029,Kern,California,50 to 64 years,17030
06029,Kern,California,65+ years,8881
06031,Kings,California,0 - 17 years,2467
06031,Kings,California,18 to 49 years,13679
06031,Kings,California,50 to 64 years,4462
06031,Kings,California,65+ years,1589
06033,Lake,California,0 - 17 years,402
06033,Lake,California,18 to 49 years,1734
06033,Lake,California,50 to 64 years,622
06033,Lake,California,65+ years,418
06035,Lassen,California,0 - 17 years,60
06035,Lassen,California,18 to 49 years,4049
06035,Lassen,California,50 to 64 years,679
06035,Lassen,California,65+ years,172
06037,Los Angeles,California,0 - 17 years,156785
06037,Los Angeles,California,18 to 49 years,668170
06037,Los Angeles,California,50 to 64 years,226060
06037,Los Angeles,California,65+ years,124084
06039,Madera,California,0 - 17 years,1970
06039,Madera,California,18 to 49 years,8982
06039,Madera,California,50 to 64 years,3165
06039,Madera,California,65+ years,1675
06041,Marin,California,0 - 17 years,1798
06041,Marin,California,18 to 49 years,7033
06041,Marin,California,50 to 64 years,2677
